Movie,Year,WWBO,DomBO,ForBO
Moonlight,2016,653391256,2785491,37484225
Spotlight,2015,92217729,45055776,47161953
Birdman,2014,103215094,42340598,60874496
12 Years a Slave,2013,181025343,56671993,124353350,
Argo,2012,227140757,136025503,91115254
The Artist,2011,128256712,44667095,83589617
The King's Speech,2010,430821168,138797449,292023719
The Hurt Locker,2008,49894223,17017811,32876412
Slumdog Millionaire,2008,384519665,141319928,243199737
No Country for Old Men,2007,164051250,74273505,89777745
The Departed,2006,289660619,132384315,157276304
Crash,2005,101173038,55334418,45838620
Million Dollar Baby,2004,231928227,100492203,131436024
The Lord of the Rings: The Return of the King,2003,1141403341,377845905,763557436
Chicago,2002,306770545,170687518,136083027
A Beautiful Mind,2001,317668058,170708996,146959062
Gladiator,2000,457683805,187683805,270000000
American Beauty,1999,356258047,130058047,226200000,
Shakespeare in Love,1998,279500000,100317794,179182206
Titanic,1997,2187300000,659200000,1528100000
The English Patient,1996,231711151,78716374,152994777
Braveheart,1995,209045522,75545647,133499875
Forrest Gump,1994,679850637,330151138,349699499
Schindler's List,1993,321365567,96067179,225298388
Unforgiven,1992,159157447,101157447,58000000
The Silence of the Lambs,1991,275726716,130726716,145000000
Dances with Wolves,1990,424200000,184208842,239991158
Driving Miss Daisy,1989,106593296,106593296,0
Rain Man,1988,412800000,172825435,239974565
The Last Emperor,1987,43988888,43984987,3901
Platoon,1986,137963328,137963328,0
Out of Africa,1985,258210860,79096868,179113992
Amadeus,1984,51973029,51973029,0
Terms of Endearment,1983,108423489,108423489,0
Gandhi,1982,127767889,52767889,75000000
Chariots of Fire,1981,57467731,57159946,307785
Ordinary People,1980,52302978,52302978,0
Kramer vs. Kramer,1979,106260000,106260000,0
The Deer Hunter,1978,50000000,50000000,0
Annie Hall,1977,38251425,38251425,0
Rocky,1976,225000000,117235147,107764853
One Flew Over the Cuckoo's Nest,1975,108981275,108981275,0
The Godfather: Part II,1974,57300000,57300000,0
The Sting,1973,159616327,159616327,0
The Godfather,1972,268500000,134966411,133533589
The French Connection,1971,41158757,41158757,0
Patton,1970,62500000,62500000,0
Midnight Cowboy,1969,44785053,44785053,0
Oliver!,1968,37402877,37402877,0
In the Heat of the Night,1967,24391108,24379978,11130
A Man for All Seasons,1966,28350000,28350000,0
The Sound of Music,1965,286214286,163214286,123000000
My Fair Lady,1964,72070955,72000000,70955
Tom Jones,1963,37600000,37600000,0
Lawrence of Arabia,1962,69995385,37495385,32500000
West Side Story,1961,43700000,43700000,0
The Apartment,1960,24600000,18600000,6000000
